Railroad_ID,Company_Name,Track_Length_km,Number_of_Trains,Daily_Passengers,Cargo_Tonnage_Tons,Accidents_2023,Maintenance_Expenses_USD,Revenue_USD,Region,On_Time_Performance_Percent,Year_Founded,Number_of_Employees,Fleet_Size,Headquarters,Electric_Locomotives,Diesel_Locomotives,High_Speed_Trains,Safety_Compliance_Score,Route_Count
8270.0,Union Pacific,400.0,298.0,,23166.0,7.0,341290.92,913472.29,Midwest,89.34,,3506.0,124.0,Atlanta,0.0,75.0,1.0,7.8,43.0
1860.0,,100.0,,,28069.0,12.0,123219.21,729765.29,Southeast,62.23,2000,2251.0,80.0,New York,0.0,85.0,0.0,9.2,48.0
6390.0,Amtrak,200.0,174.0,10000,21079.0,11.0,102894.0,,Midwest,85.24,1950,7676.0,125.0,Atlanta,0.0,75.0,0.0,6.3,
6191.0,,100.0,101.0,5000,35643.0,16.0,458239.77,534002.18,,79.42,1850,9641.0,48.0,Atlanta,0.0,44.0,0.0,1.1,29.0
6734.0,,400.0,338.0,10000,35639.0,9.0,303665.7,991869.78,,99.3,2000,,126.0,,0.0,71.0,0.0,0.9,47.0
7265.0,Union Pacific,300.0,458.0,5000,47412.0,15.0,470297.64,458704.72,Southeast,85.17,,1646.0,351.0,,0.0,35.0,0.0,0.8,24.0
1466.0,Norfolk Southern,400.0,319.0,,16776.0,13.0,169048.6,137746.02,Southeast,66.17,1900,,84.0,Chicago,1.0,48.0,1.0,0.2,22.0
5426.0,Amtrak,100.0,270.0,10000,49514.0,2.0,,971537.44,,64.77,1850,667.0,346.0,Los Angeles,0.0,80.0,1.0,5.8,16.0
6578.0,Norfolk Southern,400.0,358.0,2000,12982.0,0.0,471553.43,973864.85,,65.65,,9758.0,457.0,New York,0.0,35.0,0.0,0.3,
9322.0,Union Pacific,100.0,110.0,8000,9719.0,1.0,250501.11,671105.11,,71.36,1900,9046.0,160.0,New York,0.0,13.0,0.0,0.3,28.0
2685.0,CSX,,318.0,8000,42086.0,0.0,155274.63,564782.31,Midwest,91.2,,2517.0,196.0,Atlanta,1.0,59.0,0.0,9.9,13.0
,CSX,200.0,64.0,8000,31797.0,9.0,236828.57,884157.48,Canada,86.02,2000,,102.0,New York,0.0,,0.0,2.2,19.0
7949.0,CSX,200.0,360.0,5000,31080.0,2.0,207961.93,998309.0,West,81.74,1950,7654.0,118.0,New York,0.0,20.0,0.0,4.0,37.0
